Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,MA50,MA200
2019-03-26,11527.25,11647.05,11510.15,11632.65,516908313.0,192839400000.0,29.48,3.65,1.14,11140.063999999998,11142.38975
2019-03-27,11682.0,11698.45,11567.5,11595.65,617827236.0,238119100000.0,29.38,3.64,1.14,11152.676000000001,11145.90375
2019-03-28,11614.3,11735.15,11603.7,11719.35,941030305.0,333697000000.0,29.7,3.68,1.13,11164.908000000001,11149.5145
2019-03-29,11776.25,11794.85,11727.3,11789.2,887079071.0,275270100000.0,30.46,3.76,1.1,11178.458999999999,11153.00075
2019-04-01,11834.85,11902.25,11809.0,11832.65,643705302.0,242194400000.0,30.56,3.77,1.1,11192.633999999998,11156.672750000002
2019-04-02,11873.5,11876.1,11814.0,11861.4,641596176.0,233492400000.00003,30.63,3.78,1.09,11207.671999999999,11160.39875
2019-04-03,11886.5,11912.65,11780.55,11794.6,660309707.0,245261500000.0,30.46,3.76,1.1,11220.497,11163.488250000002
2019-04-04,11813.55,11814.4,11711.0,11753.5,648258414.0,242952300000.0,30.35,3.75,1.1,11233.08,11166.32625
2019-04-05,11794.05,11842.05,11767.1,11820.1,585478908.0,189173300000.00003,30.54,3.77,1.1,11248.785999999998,11169.726999999999
2019-04-08,11856.15,11862.25,11706.8,11760.1,611191962.0,195615100000.0,30.38,3.75,1.1,11263.007000000001,11172.845999999998
2019-04-09,11768.3,11837.15,11721.3,11825.65,535902983.0,198379700000.0,30.55,3.77,1.1,11280.153999999999,11176.409749999999
2019-04-10,11803.1,11835.6,11731.2,11743.9,592384227.0,265872300000.0,30.34,3.74,1.11,11298.298999999999,11180.019500000002
2019-04-11,11752.0,11770.4,11713.95,11760.0,501921193.0,185189900000.00003,30.38,3.75,1.1,11316.9,11183.439250000001
2019-04-12,11775.4,11820.25,11746.8,11807.85,468447694.0,178991600000.0,30.5,3.76,1.1,11336.466999999999,11187.27875
2019-04-15,11833.0,11868.85,11812.25,11856.45,512056678.0,188397900000.0,30.64,3.78,1.09,11353.66,11190.962749999999
2019-04-16,11902.0,11972.5,11898.0,11950.05,621572520.0,223549800000.0,30.89,3.81,1.09,11371.327,11195.48575
2019-04-18,12013.7,12013.7,11894.65,11913.35,573791651.0,232224600000.0,30.79,3.8,1.09,11388.185,11199.782
2019-04-22,11885.05,11885.05,11735.75,11745.9,434148269.0,170174000000.0,30.36,3.75,1.1,11401.51,11203.777999999998
2019-04-23,11765.5,11797.4,11716.5,11727.65,440462641.0,185533800000.0,30.36,3.75,1.11,11411.943000000001,11208.14125
2019-04-24,11750.75,11883.2,11726.6,11869.55,530746090.0,215389200000.0,30.67,3.79,1.09,11424.753,11212.52175
2019-04-25,11880.0,11938.55,11770.2,11787.4,882694154.0,341459500000.0,30.46,3.77,1.1,11438.619,11216.8095
2019-04-26,11829.8,11894.85,11806.65,11886.7,517783419.0,224824500000.0,30.72,3.8,1.09,11455.753,11221.372
2019-04-30,11879.75,11881.65,11782.65,11874.25,769626461.0,284206900000.0,30.68,3.79,1.09,11473.81,11225.578249999999
2019-05-02,11851.45,11915.2,11823.5,11845.6,641085374.0,232170600000.0,30.62,3.79,1.09,11492.243999999999,11229.763250000002
2019-05-03,11843.35,11882.85,11814.05,11828.05,500002080.0,199199500000.0,30.58,3.78,1.1,11511.037,11233.7175
2019-05-06,11723.7,11748.6,11684.25,11708.85,469289620.0,181624300000.0,30.27,3.74,1.11,11528.296999999999,11236.664
2019-05-07,11760.9,11767.85,11597.35,11610.1,516723480.0,206559500000.0,30.04,3.71,1.12,11545.275,11238.62125
2019-05-08,11591.15,11591.45,11459.0,11470.8,750320961.0,216081000000.0,29.67,3.67,1.13,11560.069000000001,11239.941
2019-05-09,11435.0,11469.05,11368.6,11415.9,659627065.0,211798000000.0,29.53,3.65,1.13,11571.085,11240.671999999999
2019-05-10,11427.4,11456.6,11364.8,11391.85,750713890.0,217466800000.0,29.4,3.64,1.14,11580.421,11241.337749999999
2019-05-13,11371.2,11405.9,11228.05,11249.85,681360515.0,199731500000.0,29.01,3.6,1.15,11586.671,11241.831500000002
2019-05-14,11250.05,11388.9,11201.2,11318.0,822711342.0,240728800000.0,29.32,3.62,1.14,11592.596000000001,11242.268
2019-05-15,11363.45,11383.6,11232.4,11253.85,711657068.0,221698600000.0,29.15,3.6,1.15,11598.042,11242.59175
2019-05-16,11274.5,11365.1,11229.75,11341.6,681607759.0,210363700000.0,29.35,3.62,1.14,11605.637999999999,11243.497249999999
2019-05-17,11344.7,11502.35,11340.55,11485.85,742572635.0,258055200000.0,29.74,3.67,1.13,11616.157000000001,11244.8475
